gcf	phylum
GCF001405015	Firmicutes
GCF002160865	Firmicutes
GCF000426925	not_annotated
GCF900107735	Actinobacteria
GCF000518665	Proteobacteria
GCF000196255	Proteobacteria
GCF000413015	Spirochaetes
GCF001611555	Firmicutes
GCF000455605	Bacteroidetes
GCF000769915	Bacteroidetes
GCF900108955	Bacteroidetes
GCF000426505	Proteobacteria
GCF900143255	Proteobacteria
GCF001189575	Firmicutes
GCF900176505	Bacteroidetes
GCF000744185	Firmicutes
GCF000750635	Firmicutes
GCF000164865	Proteobacteria
GCF000011025	Actinobacteria
GCF000511955	Firmicutes
GCF000723405	Proteobacteria
GCF900167135	Bacteroidetes
GCF001592265	Proteobacteria
GCF000585395	not_annotated
GCF001630765	Actinobacteria
GCF900101395	Bacteroidetes
GCF002104475	Proteobacteria
GCF000212735	Bacteroidetes
GCF900087055	Proteobacteria
GCF000583695	Firmicutes
GCF001698145	Firmicutes
GCF001932615	Firmicutes
GCF001274915	Firmicutes
GCF000525635	Actinobacteria
GCF000155205	Firmicutes
GCF001189965	Proteobacteria
GCF900142125	Proteobacteria
GCF000420265	Proteobacteria
GCF000146185	Firmicutes
GCF000473995	Firmicutes
GCF001702135	Firmicutes
GCF000445125	Proteobacteria
GCF000021325	Proteobacteria
GCF000797495	Firmicutes
GCF900142075	Firmicutes
GCF000146855	Firmicutes
GCF000733765	Proteobacteria
GCF000013325	Proteobacteria
GCF900142205	Bacteroidetes
GCF000744225	Actinobacteria
GCF001418015	Bacteroidetes
GCF002224225	not_annotated
GCF000731315	Proteobacteria
GCF001951155	Bacteroidetes
GCF900156615	Firmicutes
GCF001189295	Proteobacteria
GCF000715505	Proteobacteria
GCF000023785	Proteobacteria
GCF000383955	Bacteroidetes
GCF000017305	Actinobacteria
GCF900129975	Proteobacteria
GCF000428945	Actinobacteria
GCF001888165	Proteobacteria
GCF000299335	Proteobacteria
GCF000238215	Bacteroidetes
GCF000526495	Firmicutes
GCF000179595	Firmicutes
GCF000511305	Actinobacteria
GCF001708305	Firmicutes
GCF900156665	Actinobacteria
GCF002088935	Proteobacteria
GCF000422825	Actinobacteria
GCF002086815	Actinobacteria
GCF002209565	not_annotated
GCF000961095	Firmicutes
GCF000381125	Proteobacteria
GCF000428905	Proteobacteria
GCF001028705	Proteobacteria
GCF000463355	Firmicutes
GCF001647285	Bacteroidetes
GCF900112895	Firmicutes
GCF000517085	Bacteroidetes
GCF002000025	Proteobacteria
GCF002155915	not_annotated
GCF000682715	Proteobacteria
GCF000011685	Proteobacteria
GCF001493375	Actinobacteria
GCF900148495	Firmicutes
GCF000069945	Actinobacteria
GCF001467695	Proteobacteria
GCF000009905	Firmicutes
GCF000258495	not_annotated
GCF000576425	Actinobacteria
GCF000007745	Proteobacteria
GCF900059565	Firmicutes
GCF900142445	Bacteroidetes
GCF000308355	Actinobacteria
GCF900111135	Firmicutes
GCF000974765	Proteobacteria
GCF000425365	Proteobacteria
GCF000600005	Proteobacteria
GCF900107675	Bacteroidetes
GCF000826125	Firmicutes
GCF000758685	Firmicutes
GCF000973625	Proteobacteria
GCF000196675	Actinobacteria
GCF000332115	Bacteroidetes
GCF000154285	Firmicutes
GCF900129245	Bacteroidetes
GCF001468005	Proteobacteria
GCF000971295	Proteobacteria
GCF000213555	Bacteroidetes
GCF000273175	Bacteroidetes
GCF000265405	Bacteroidetes
GCF000217675	Proteobacteria
GCF900163565	not_annotated
GCF000938265	Actinobacteria
GCF000521805	Proteobacteria
GCF000013745	Proteobacteria
GCF000355905	Bacteroidetes
GCF900113805	Bacteroidetes
GCF001467625	Proteobacteria
GCF900112545	Proteobacteria
GCF000226295	not_annotated
GCF000283015	Bacteroidetes
GCF000817955	Proteobacteria
GCF000971975	Firmicutes
GCF000214215	Proteobacteria
GCF001375655	Firmicutes
GCF000017585	Proteobacteria
GCF001742225	Proteobacteria
GCF001038625	Firmicutes
GCF000752095	not_annotated
GCF001634285	Firmicutes
GCF001270025	not_annotated
GCF900104195	Bacteroidetes
GCF900115865	Proteobacteria
GCF001678675	Bacteroidetes
GCF900177745	Actinobacteria
GCF001591545	Firmicutes
GCF900177275	Proteobacteria
GCF001310225	Bacteroidetes
GCF000013005	Proteobacteria
GCF002102115	Actinobacteria
GCF001654455	Bacteroidetes
GCF001467535	Proteobacteria
GCF001437355	Firmicutes
GCF900163545	not_annotated
GCF900106845	Firmicutes
GCF000723165	Proteobacteria
GCF000146345	Firmicutes
GCF000297775	Proteobacteria
GCF900101825	Proteobacteria
GCF900141925	Proteobacteria
GCF002028405	Proteobacteria
GCF900111235	Firmicutes
GCF900102625	Proteobacteria
GCF900188445	not_annotated
GCF000935165	Proteobacteria
GCF002086175	Actinobacteria
GCF002197845	not_annotated
GCF000585625	Proteobacteria
GCF000011465	not_annotated
GCF000701445	Proteobacteria
GCF000178855	Chloroflexi
GCF000160615	Actinobacteria
GCF000158655	Firmicutes
GCF002119765	Proteobacteria
GCF001418495	not_annotated
GCF001418475	not_annotated
GCF001855385	Firmicutes
GCF000409775	Proteobacteria
GCF001047375	Firmicutes
GCF000225345	Firmicutes
GCF900100085	Proteobacteria
GCF000698595	Proteobacteria
GCF000160875	Firmicutes
GCF900112335	Proteobacteria
GCF000577555	Actinobacteria
GCF000189415	Bacteroidetes
GCF001548015	Proteobacteria
GCF001687565	Firmicutes
GCF000523235	Actinobacteria
GCF000008045	Proteobacteria
GCF000260985	Proteobacteria
GCF000701705	Proteobacteria
GCF001748225	Proteobacteria
GCF900155965	Bacteroidetes
GCF000165735	Firmicutes
GCF900113765	Bacteroidetes
GCF000718255	Actinobacteria
GCF001563225	Proteobacteria
GCF000380185	Proteobacteria
GCF001927245	Proteobacteria
GCF000183135	Bacteroidetes
GCF001746835	not_annotated
GCF000317125	not_annotated
GCF900109955	Proteobacteria
GCF900167405	Firmicutes
GCF001466665	Chloroflexi
GCF000159235	Actinobacteria
GCF001310775	not_annotated
GCF000007365	Proteobacteria
GCF000956535	Actinobacteria
GCF900169565	Nitrospirae
GCF900089565	Bacteroidetes
GCF001437175	Firmicutes
GCF000521865	Proteobacteria
GCF000970735	Firmicutes
GCF000312125	Actinobacteria
GCF900105885	Proteobacteria
GCF000971175	Actinobacteria
GCF900089585	Actinobacteria
GCF001605015	Proteobacteria
GCF001021555	Proteobacteria
GCF900167435	Actinobacteria
GCF000236665	Proteobacteria
GCF000518785	Proteobacteria
GCF000342045	Proteobacteria
GCF001632775	Proteobacteria
GCF001025175	Actinobacteria
GCF900103285	Bacteroidetes
GCF900114155	Proteobacteria
GCF001438805	Firmicutes
GCF001029505	Actinobacteria
GCF001304715	Firmicutes
GCF002074155	Firmicutes
GCF900162685	Firmicutes
GCF000177555	Firmicutes
GCF000964565	Proteobacteria
GCF000615945	Firmicutes
GCF001940455	Actinobacteria
GCF001483385	Bacteroidetes
GCF000746845	Bacteroidetes
GCF001534745	Proteobacteria
GCF900115185	Bacteroidetes
GCF000372745	Actinobacteria
GCF001007875	Proteobacteria
GCF900100395	Actinobacteria
GCF000372465	Actinobacteria
GCF000092925	Proteobacteria
GCF000626635	Bacteroidetes
GCF001902615	Actinobacteria
GCF000703005	Firmicutes
GCF000183545	Firmicutes
GCF001855565	Proteobacteria
GCF900112485	Firmicutes
GCF000332155	not_annotated
GCF001654435	Proteobacteria
GCF000686605	Firmicutes
GCF000024365	Actinobacteria
GCF001029265	Tenericutes
GCF001556105	Proteobacteria
GCF000382045	Proteobacteria
GCF001675355	Proteobacteria
GCF001632305	Firmicutes
GCF000164695	Actinobacteria
GCF002019705	Firmicutes
GCF000934845	Firmicutes
GCF000195295	Proteobacteria
GCF001941485	Actinobacteria
GCF000160435	Proteobacteria
GCF000018265	Actinobacteria
GCF001442615	Bacteroidetes
GCF000350485	Firmicutes
GCF000010625	not_annotated
GCF000317435	not_annotated
GCF900177325	Proteobacteria
GCF000725365	Firmicutes
GCF000422265	Bacteroidetes
GCF001547995	Proteobacteria
GCF000317285	not_annotated
GCF000420025	Actinobacteria
GCF900108455	Firmicutes
GCF002197665	not_annotated
GCF001467975	Proteobacteria
GCF001648175	Proteobacteria
GCF000422685	Bacteroidetes
GCF000469485	not_annotated
GCF000023025	Proteobacteria
GCF000737695	Bacteroidetes
GCF000612845	Firmicutes
GCF900114485	Proteobacteria
GCF000347775	Proteobacteria
GCF000430725	Proteobacteria
GCF001421015	Firmicutes
GCF000265465	Bacteroidetes
GCF000159995	Bacteroidetes
GCF001553115	Firmicutes
GCF000426385	Actinobacteria
GCF900172265	not_annotated
GCF000179615	Firmicutes
GCF001572925	Proteobacteria
GCF002075105	Firmicutes
GCF000425465	Bacteroidetes
GCF001458595	Firmicutes
GCF000420345	Firmicutes
GCF000383915	Actinobacteria
GCF000507865	Proteobacteria
GCF000711955	Proteobacteria
GCF900155585	Firmicutes
GCF000062885	Actinobacteria
GCF000987835	Proteobacteria
GCF000421745	Actinobacteria
GCF000235885	Bacteroidetes
GCF900141845	Firmicutes
GCF000426445	Actinobacteria
GCF000614025	Bacteroidetes
GCF000688655	Proteobacteria
GCF000510685	Proteobacteria
GCF001054195	Actinobacteria
GCF000092125	Deinococcus-Thermus
GCF000025705	Proteobacteria
GCF000524475	Actinobacteria
GCF900110065	Proteobacteria
GCF900102145	Deinococcus-Thermus
GCF000308295	Proteobacteria
